dataset	nb_rows	column	value	type	nb_levels	is_row	description	controlled_term	units	term_url
ds000001	16	participant_id	n/a	object	16	True	n/a	nb:ParticipantID	n/a	n/a
ds000001	16	sex	n/a	object	3	True	n/a	nb:Sex	n/a	n/a
ds000001	16	sex	F	n/a	0	False	n/a	n/a	n/a	n/a
ds000001	16	sex	M,	n/a	0	False	n/a	n/a	n/a	n/a
ds000001	16	sex	M	n/a	0	False	n/a	n/a	n/a	n/a
ds000001	16	age	n/a	int64	8	True	n/a	n/a	n/a	n/a
ds000002	17	participant_id	n/a	object	17	True	n/a	nb:ParticipantID	n/a	n/a
ds000002	17	sex	n/a	object	2	True	n/a	nb:Sex	n/a	n/a
ds000002	17	sex	M	n/a	0	False	n/a	n/a	n/a	n/a
ds000002	17	sex	F	n/a	0	False	n/a	n/a	n/a	n/a
ds000002	17	age	n/a	int64	8	True	n/a	n/a	n/a	n/a
ds000003	13	participant_id	n/a	object	13	True	n/a	nb:ParticipantID	n/a	n/a
ds000003	13	sex	n/a	object	2	True	n/a	nb:Sex	n/a	n/a
ds000003	13	sex	M	n/a	0	False	n/a	n/a	n/a	n/a
ds000003	13	sex	F	n/a	0	False	n/a	n/a	n/a	n/a
ds000003	13	age	n/a	int64	9	True	n/a	n/a	n/a	n/a
ds000005	16	participant_id	n/a	object	16	True	n/a	nb:ParticipantID	n/a	n/a
ds000005	16	sex	n/a	object	2	True	n/a	nb:Sex	n/a	n/a
ds000005	16	sex	M	n/a	0	False	n/a	n/a	n/a	n/a
ds000005	16	sex	F	n/a	0	False	n/a	n/a	n/a	n/a
ds000005	16	age	n/a	int64	8	True	n/a	n/a	n/a	n/a
ds000006	14	participant_id	n/a	object	14	True	n/a	nb:ParticipantID	n/a	n/a
ds000006	14	sex	n/a	object	2	True	n/a	nb:Sex	n/a	n/a
ds000006	14	sex	F	n/a	0	False	n/a	n/a	n/a	n/a
ds000006	14	sex	M	n/a	0	False	n/a	n/a	n/a	n/a
ds000006	14	age	n/a	int64	8	True	n/a	n/a	n/a	n/a
ds000007	20	participant_id	n/a	object	20	True	n/a	nb:ParticipantID	n/a	n/a
ds000007	20	gender	n/a	object	2	True	n/a	nb:Sex	n/a	n/a
ds000007	20	gender	M	n/a	0	False	n/a	n/a	n/a	n/a
ds000007	20	gender	F	n/a	0	False	n/a	n/a	n/a	n/a
ds000007	20	age	n/a	int64	10	True	n/a	n/a	n/a	n/a
ds000008	14	participant_id	n/a	object	14	True	n/a	nb:ParticipantID	n/a	n/a
ds000008	14	sex	n/a	object	2	True	n/a	nb:Sex	n/a	n/a
ds000008	14	sex	M	n/a	0	False	n/a	n/a	n/a	n/a
ds000008	14	sex	F	n/a	0	False	n/a	n/a	n/a	n/a
ds000008	14	age	n/a	int64	9	True	n/a	n/a	n/a	n/a
ds000009	24	participant_id	n/a	object	24	True	n/a	nb:ParticipantID	n/a	n/a
ds000009	24	age	n/a	int64	8	True	n/a	n/a	n/a	n/a
ds000009	24	sex	n/a	object	2	True	n/a	nb:Sex	n/a	n/a
ds000009	24	sex	F	n/a	0	False	n/a	n/a	n/a	n/a
ds000009	24	sex	M	n/a	0	False	n/a	n/a	n/a	n/a
ds000009	24	m_SSRTquant	n/a	float64	24	True	n/a	n/a	n/a	n/a
ds000009	24	m_NumPumps_Avg	n/a	float64	20	True	n/a	n/a	n/a	n/a
ds000009	24	m_TotalAmt_Avg	n/a	float64	19	True	n/a	n/a	n/a	n/a
ds000009	24	m_NumExplAvg	n/a	int64	10	True	n/a	n/a	n/a	n/a
ds000009	24	m_logit_k	n/a	float64	20	True	n/a	n/a	n/a	n/a
ds000009	24	m_AN-SN	n/a	float64	21	True	n/a	n/a	n/a	n/a
